                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.544,                  2.805,                 2.9378,                 1.4878,                0.12089,                0.43082,                0.11363,                0.05721,                0.11437,                0.40412,                0.10137,                0.04714,                 1.7314,                 5.3861,                 69.115,                  1.995,             0.00036472,             0.00036472,             0.00036472
                      2,                 1.6931,                  2.769,                 2.2549,                 1.5878,                0.63819,                0.08747,                0.03349,                0.01218,                0.02392,                0.22326,                0.02286,                0.00673,                 2.2648,                 33.241,                    inf,                 3.3826,             0.00073142,             0.00073142,             0.00073142
                      3,                 1.7402,                 2.7292,                 2.3577,                 1.6441,                0.12943,                0.24875,                 0.0411,                0.02155,                0.12605,                0.21375,                0.03677,                 0.0165,                 2.2915,                 25.742,                 31.152,                 2.4621,              0.0010944,              0.0010944,              0.0010944
                      4,                 1.6981,                 2.7343,                 2.1462,                 1.5681,                 0.1782,                 0.4114,                0.17374,                0.07888,                0.18661,                0.34867,                0.16432,                 0.0641,                 1.9958,                 4.0055,                 4.4263,                 1.9272,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.6744,                 2.5786,                 2.1032,                 1.5725,                0.44983,                0.30888,                0.25034,                0.12358,                0.47254,                0.29344,                0.24923,                0.11337,                 1.8523,                 3.0985,                  2.578,                  1.949,              0.0010945,              0.0010945,              0.0010945
                      6,                 1.5975,                 2.5335,                 1.9258,                 1.4948,                0.36358,                0.30642,                0.27188,                0.13915,                0.35625,                0.29933,                0.26269,                 0.1219,                 1.7502,                 2.8552,                 2.5428,                 1.7156,               0.001089,               0.001089,               0.001089
                      7,                 1.5681,                  2.476,                 1.8874,                 1.4963,                 0.2572,                0.40107,                0.28262,                0.14578,                0.29506,                0.38228,                0.28611,                0.13802,                 1.8599,                 2.9741,                 2.8426,                 1.8854,              0.0010835,              0.0010835,              0.0010835
                      8,                 1.5877,                 2.5166,                 1.8803,                 1.4782,                0.44786,                0.33972,                0.33872,                0.18876,                0.43775,                0.35083,                0.33439,                0.16411,                 1.6943,                 2.8159,                 2.7135,                 1.6911,               0.001078,               0.001078,               0.001078
                      9,                 1.5562,                 2.4494,                 1.8093,                 1.4541,                0.41427,                0.46155,                0.38938,                 0.2138,                0.39405,                0.44224,                0.36649,                0.19374,                 1.6841,                  2.868,                 2.2077,                 1.6437,              0.0010725,              0.0010725,              0.0010725
                     10,                 1.4686,                 2.3498,                 1.7365,                 1.4207,                0.51378,                0.40555,                0.39705,                0.21218,                 0.5186,                0.39473,                0.37934,                0.19019,                 1.6733,                 2.7964,                 2.1106,                 1.6774,               0.001067,               0.001067,               0.001067
                     11,                 1.5269,                  2.414,                 1.7173,                 1.4407,                0.46915,                0.46093,                0.46171,                0.26205,                0.49999,                0.43825,                0.45688,                0.24206,                 1.6947,                 2.6791,                 2.0291,                 1.6598,              0.0010615,              0.0010615,              0.0010615
                     12,                 1.4984,                 2.3588,                 1.6971,                  1.445,                0.48819,                0.48174,                0.44051,                0.24158,                0.47953,                0.48366,                0.42606,                0.21869,                 1.6288,                 2.7181,                 2.0722,                  1.606,               0.001056,               0.001056,               0.001056
                     13,                 1.5081,                 2.3344,                 1.6698,                 1.4548,                0.45239,                0.56012,                0.53917,                0.30988,                0.44199,                0.52788,                0.51124,                0.28176,                 1.5711,                 2.6906,                 1.7378,                 1.6094,              0.0010505,              0.0010505,              0.0010505
                     14,                 1.4234,                 2.2485,                 1.5817,                 1.3936,                0.51904,                0.43311,                0.44959,                0.26995,                0.46412,                 0.4364,                0.43138,                0.24194,                  1.708,                  2.736,                 1.9599,                  1.738,               0.001045,               0.001045,               0.001045
                     15,                 1.4347,                 2.2765,                 1.5853,                 1.3799,                0.46827,                0.51026,                0.48315,                0.29449,                  0.473,                0.49489,                0.48219,                0.27055,                 1.6342,                 2.4964,                 1.7711,                  1.712,              0.0010395,              0.0010395,              0.0010395
                     16,                 1.3926,                 2.1924,                 1.4699,                 1.3545,                0.49044,                0.47676,                0.47056,                0.28337,                0.47571,                0.45404,                0.44829,                0.25039,                 1.6043,                 2.7121,                 1.8139,                 1.5909,               0.001034,               0.001034,               0.001034
                     17,                 1.3792,                 2.1947,                 1.4868,                 1.3701,                0.59943,                0.47037,                0.51919,                0.30947,                0.60352,                 0.4441,                0.49575,                 0.2756,                  1.636,                 2.7439,                 1.7321,                 1.6332,              0.0010285,              0.0010285,              0.0010285
                     18,                   1.41,                 2.2122,                 1.4973,                 1.3577,                0.54287,                0.52052,                0.54412,                0.30502,                 0.5505,                0.48209,                0.50976,                0.26577,                  1.513,                 2.4498,                 1.6051,                 1.4925,               0.001023,               0.001023,               0.001023
                     19,                 1.3657,                 2.1655,                 1.4814,                 1.3738,                 0.4918,                0.54257,                0.53854,                0.31456,                0.49256,                0.54214,                0.51948,                0.28783,                 1.5832,                 2.5349,                 1.8249,                 1.6054,              0.0010175,              0.0010175,              0.0010175
                     20,                 1.4152,                 2.1996,                 1.4575,                 1.3627,                0.51508,                0.55224,                0.53759,                0.32508,                0.51478,                0.54325,                0.52924,                0.28993,                 1.5204,                 2.4424,                 1.5442,                  1.583,               0.001012,               0.001012,               0.001012
